OpType,MACs,MACs(%),Memory,Memory(%),Params,Params(%)
TOTAL,4791699216,100.00%,624393836,100.00%,28596370,100.00%
MatMul,4475347968,93.40%,176720448,28.30%,27426816,95.91%
Pow,119218176,2.49%,14902272,2.39%,0,0.00%
Softmax,78829632,1.65%,8758848,1.40%,0,0.00%
Div,46541376,0.97%,46541376,7.45%,0,0.00%
Add,28434588,0.59%,115309792,18.47%,383466,1.34%
Mul,15166416,0.32%,60718080,9.72%,12384,0.04%
Conv,14751744,0.31%,1223040,0.20%,4704,0.02%
ReduceMean,7451136,0.16%,179536,0.03%,0,0.00%
Sub,3946472,0.08%,15785936,2.53%,0,0.00%
Gemm,769000,0.02%,3080000,0.49%,769000,2.69%
Sqrt,538608,0.01%,89768,0.01%,0,0.00%
Equal,442504,0.01%,442504,0.07%,0,0.00%
Not,220892,0.00%,220892,0.04%,0,0.00%
GlobalAveragePool,40704,0.00%,3072,0.00%,0,0.00%
Shape,0,0.00%,18824,0.00%,0,0.00%
Constant,0,0.00%,0,0.00%,0,0.00%
Slice,0,0.00%,15131760,2.42%,0,0.00%
Concat,0,0.00%,13097328,2.10%,0,0.00%
Reshape,0,0.00%,82437704,13.20%,0,0.00%
Transpose,0,0.00%,35693936,5.72%,0,0.00%
Mod,0,0.00%,0,0.00%,0,0.00%
Unsqueeze,0,0.00%,1950184,0.31%,0,0.00%
Gather,0,0.00%,96,0.00%,0,0.00%
Cast,0,0.00%,1326696,0.21%,0,0.00%
ConstantOfShape,0,0.00%,42016,0.01%,0,0.00%
Pad,0,0.00%,5720064,0.92%,0,0.00%
Erf,0,0.00%,22880256,3.66%,0,0.00%
Expand,0,0.00%,162288,0.03%,0,0.00%
Range,0,0.00%,18864,0.00%,0,0.00%
Where,0,0.00%,1772896,0.28%,0,0.00%
ScatterND,0,0.00%,162288,0.03%,0,0.00%
Flatten,0,0.00%,3072,0.00%,0,0.00%
