Name,Type,Forward_FLOPs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/swin/embeddings/patch_embeddings/projection/Conv,Conv,29503488,0.31%,1223040,0.20%,4704,0.02%,1x3x224x224,1x96x56x56
/swin/embeddings/patch_embeddings/Shape,Shape,0,0.00%,32,0.00%,0,0.00%,1x96x56x56,4
/swin/embeddings/patch_embeddings/Slice,Slice,0,0.00%,16,0.00%,0,0.00%,4,2
/swin/embeddings/patch_embeddings/Concat,Concat,0,0.00%,24,0.00%,0,0.00%,2,3
/swin/embeddings/patch_embeddings/Reshape,Reshape,0,0.00%,1204224,0.19%,0,0.00%,1x96x56x56,1x96x3136
/swin/embeddings/patch_embeddings/Transpose,Transpose,0,0.00%,1204224,0.19%,0,0.00%,1x96x3136,1x3136x96
/swin/embeddings/norm/ReduceMean,ReduceMean,602112,0.01%,12544,0.00%,0,0.00%,1x3136x96,1x3136x1
/swin/embeddings/norm/Sub,Sub,602112,0.01%,1204224,0.19%,0,0.00%,1x3136x96,1x3136x96
/swin/embeddings/norm/Pow,Pow,19267584,0.20%,1204224,0.19%,0,0.00%,1x3136x96,1x3136x96
/swin/embeddings/norm/ReduceMean_1,ReduceMean,602112,0.01%,12544,0.00%,0,0.00%,1x3136x96,1x3136x1
/swin/embeddings/norm/Add,Add,6272,0.00%,12544,0.00%,0,0.00%,1x3136x1,1x3136x1
/swin/embeddings/norm/Sqrt,Sqrt,150528,0.00%,12544,0.00%,0,0.00%,1x3136x1,1x3136x1
/swin/embeddings/norm/Div,Div,2408448,0.03%,1204224,0.19%,0,0.00%,1x3136x96,1x3136x96
/swin/embeddings/norm/Mul,Mul,602112,0.01%,1204608,0.19%,96,0.00%,1x3136x96,1x3136x96
/swin/embeddings/norm/Add_1,Add,602112,0.01%,1204608,0.19%,96,0.00%,1x3136x96,1x3136x96
/swin/encoder/layers.0/blocks.0/layernorm_before/ReduceMean,ReduceMean,602112,0.01%,12544,0.00%,0,0.00%,1x3136x96,1x3136x1
/swin/encoder/layers.0/blocks.0/layernorm_before/Sub,Sub,602112,0.01%,1204224,0.19%,0,0.00%,1x3136x96,1x3136x96
/swin/encoder/layers.0/blocks.0/layernorm_before/Pow,Pow,19267584,0.20%,1204224,0.19%,0,0.00%,1x3136x96,1x3136x96
/swin/encoder/layers.0/blocks.0/layernorm_before/ReduceMean_1,ReduceMean,602112,0.01%,12544,0.00%,0,0.00%,1x3136x96,1x3136x1
/swin/encoder/layers.0/blocks.0/layernorm_before/Add,Add,6272,0.00%,12544,0.00%,0,0.00%,1x3136x1,1x3136x1
/swin/encoder/layers.0/blocks.0/layernorm_before/Sqrt,Sqrt,150528,0.00%,12544,0.00%,0,0.00%,1x3136x1,1x3136x1
