OpType,MACs,MACs(%),Memory,Memory(%),Params,Params(%)
TOTAL,81616538000,100.00%,2897327956,100.00%,62971933,100.00%
Conv,78458052400,96.13%,995654132,34.36%,62971933,100.00%
Sigmoid,2975065600,3.65%,743766400,25.67%,0,0.00%
Mul,91030400,0.11%,728243200,25.13%,0,0.00%
MaxPool,56320000,0.07%,4915200,0.17%,0,0.00%
Add,34456800,0.04%,275654400,9.51%,0,0.00%
Pow,1612800,0.00%,403200,0.01%,0,0.00%
Concat,0,0.00%,70316880,2.43%,0,0.00%
Constant,0,0.00%,0,0.00%,0,0.00%
Floor,0,0.00%,0,0.00%,0,0.00%
Unsqueeze,0,0.00%,16,0.00%,0,0.00%
Shape,0,0.00%,64,0.00%,0,0.00%
Slice,0,0.00%,32,0.00%,0,0.00%
Cast,0,0.00%,32,0.00%,0,0.00%
Resize,0,0.00%,9830400,0.34%,0,0.00%
Reshape,0,0.00%,34272000,1.18%,0,0.00%
Transpose,0,0.00%,17136000,0.59%,0,0.00%
Split,0,0.00%,17136000,0.59%,0,0.00%
