OpType,MACs,MACs(%),Memory,Memory(%),Params,Params(%)
TOTAL,7095264400,100.00%,441927056,100.00%,8849182,100.00%
Conv,6600343600,93.02%,152116728,34.42%,8849182,100.00%
Sigmoid,466880000,6.58%,116720000,26.41%,0,0.00%
Mul,14128000,0.20%,113024000,25.58%,0,0.00%
MaxPool,13516800,0.19%,27033600,6.12%,0,0.00%
Pow,384000,0.01%,96000,0.02%,0,0.00%
Add,12000,0.00%,96000,0.02%,0,0.00%
Constant,0,0.00%,0,0.00%,0,0.00%
ConstantOfShape,0,0.00%,32,0.00%,0,0.00%
Concat,0,0.00%,13075368,2.96%,0,0.00%
Reshape,0,0.00%,8160128,1.85%,0,0.00%
Slice,0,0.00%,80,0.00%,0,0.00%
Transpose,0,0.00%,4080064,0.92%,0,0.00%
Cast,0,0.00%,80,0.00%,0,0.00%
Pad,0,0.00%,1806336,0.41%,0,0.00%
Shape,0,0.00%,192,0.00%,0,0.00%
Gather,0,0.00%,0,0.00%,0,0.00%
Floor,0,0.00%,0,0.00%,0,0.00%
Unsqueeze,0,0.00%,48,0.00%,0,0.00%
Resize,0,0.00%,1638400,0.37%,0,0.00%
Split,0,0.00%,4080000,0.92%,0,0.00%
