OpType,MACs,MACs(%),Memory,Memory(%),Params,Params(%)
TOTAL,81133824400,100.00%,2876747604,100.00%,61922845,100.00%
Conv,78038417200,96.18%,989819380,34.41%,61922845,100.00%
Sigmoid,2968512000,3.66%,742128000,25.80%,0,0.00%
Mul,90825600,0.11%,726604800,25.26%,0,0.00%
Add,34456800,0.04%,275654400,9.58%,0,0.00%
Pow,1612800,0.00%,403200,0.01%,0,0.00%
Constant,0,0.00%,0,0.00%,0,0.00%
Floor,0,0.00%,0,0.00%,0,0.00%
Unsqueeze,0,0.00%,16,0.00%,0,0.00%
Concat,0,0.00%,63763280,2.22%,0,0.00%
Shape,0,0.00%,64,0.00%,0,0.00%
Slice,0,0.00%,32,0.00%,0,0.00%
Cast,0,0.00%,32,0.00%,0,0.00%
Resize,0,0.00%,9830400,0.34%,0,0.00%
Reshape,0,0.00%,34272000,1.19%,0,0.00%
Transpose,0,0.00%,17136000,0.60%,0,0.00%
Split,0,0.00%,17136000,0.60%,0,0.00%
