Name,Type,Forward_FLOPs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,734003200,0.45%,104861184,3.62%,896,0.00%,1x3x640x640,1x32x640x640
/model.0/act/Sigmoid,Sigmoid,838860800,0.51%,104857600,3.62%,0,0.00%,1x32x640x640,1x32x640x640
/model.0/act/Mul,Mul,26214400,0.02%,104857600,3.62%,0,0.00%,1x32x640x640,1x32x640x640
/model.1/conv/Conv,Conv,3787980800,2.32%,52502784,1.81%,18496,0.03%,1x32x640x640,1x64x320x320
/model.1/act/Sigmoid,Sigmoid,419430400,0.26%,52428800,1.81%,0,0.00%,1x64x320x320,1x64x320x320
/model.1/act/Mul,Mul,13107200,0.01%,52428800,1.81%,0,0.00%,1x64x320x320,1x64x320x320
/model.2/cv1/conv/Conv,Conv,425984000,0.26%,26222720,0.91%,2080,0.00%,1x64x320x320,1x32x320x320
/model.2/cv1/act/Sigmoid,Sigmoid,209715200,0.13%,26214400,0.90%,0,0.00%,1x32x320x320,1x32x320x320
/model.2/cv1/act/Mul,Mul,6553600,0.00%,26214400,0.90%,0,0.00%,1x32x320x320,1x32x320x320
/model.2/cv2/conv/Conv,Conv,3787980800,2.32%,52502784,1.81%,18496,0.03%,1x32x320x320,1x64x320x320
/model.2/cv2/act/Sigmoid,Sigmoid,419430400,0.26%,52428800,1.81%,0,0.00%,1x64x320x320,1x64x320x320
/model.2/cv2/act/Mul,Mul,13107200,0.01%,52428800,1.81%,0,0.00%,1x64x320x320,1x64x320x320
/model.2/Add,Add,13107200,0.01%,52428800,1.81%,0,0.00%,1x64x320x320,1x64x320x320
/model.3/conv/Conv,Conv,3781427200,2.32%,26509824,0.91%,73856,0.12%,1x64x320x320,1x128x160x160
/model.3/act/Sigmoid,Sigmoid,209715200,0.13%,26214400,0.90%,0,0.00%,1x128x160x160,1x128x160x160
/model.3/act/Mul,Mul,6553600,0.00%,26214400,0.90%,0,0.00%,1x128x160x160,1x128x160x160
/model.4/model.4.0/cv1/conv/Conv,Conv,422707200,0.26%,13140224,0.45%,8256,0.01%,1x128x160x160,1x64x160x160
/model.4/model.4.0/cv1/act/Sigmoid,Sigmoid,104857600,0.06%,13107200,0.45%,0,0.00%,1x64x160x160,1x64x160x160
/model.4/model.4.0/cv1/act/Mul,Mul,3276800,0.00%,13107200,0.45%,0,0.00%,1x64x160x160,1x64x160x160
/model.4/model.4.0/cv2/conv/Conv,Conv,3781427200,2.32%,26509824,0.91%,73856,0.12%,1x64x160x160,1x128x160x160
/model.4/model.4.0/cv2/act/Sigmoid,Sigmoid,209715200,0.13%,26214400,0.90%,0,0.00%,1x128x160x160,1x128x160x160
