Name,Type,Forward_FLOPs,FPercent,Memory,MPercent,Params,PPercent,InShape,OutShape
/model.0/conv/Conv,Conv,367001600,2.59%,52430592,11.86%,448,0.01%,1x3x640x640,1x16x640x640
/model.0/act/Sigmoid,Sigmoid,419430400,2.96%,52428800,11.86%,0,0.00%,1x16x640x640,1x16x640x640
/model.0/act/Mul,Mul,13107200,0.09%,52428800,11.86%,0,0.00%,1x16x640x640,1x16x640x640
/model.1/MaxPool,MaxPool,13107200,0.09%,13107200,2.97%,0,0.00%,1x16x640x640,1x16x320x320
/model.2/conv/Conv,Conv,950272000,6.70%,26232960,5.94%,4640,0.05%,1x16x320x320,1x32x320x320
/model.2/act/Sigmoid,Sigmoid,209715200,1.48%,26214400,5.93%,0,0.00%,1x32x320x320,1x32x320x320
/model.2/act/Mul,Mul,6553600,0.05%,26214400,5.93%,0,0.00%,1x32x320x320,1x32x320x320
/model.3/MaxPool,MaxPool,6553600,0.05%,6553600,1.48%,0,0.00%,1x32x320x320,1x32x160x160
/model.4/conv/Conv,Conv,946995200,6.67%,13181184,2.98%,18496,0.21%,1x32x160x160,1x64x160x160
/model.4/act/Sigmoid,Sigmoid,104857600,0.74%,13107200,2.97%,0,0.00%,1x64x160x160,1x64x160x160
/model.4/act/Mul,Mul,3276800,0.02%,13107200,2.97%,0,0.00%,1x64x160x160,1x64x160x160
/model.5/MaxPool,MaxPool,3276800,0.02%,3276800,0.74%,0,0.00%,1x64x160x160,1x64x80x80
/model.6/conv/Conv,Conv,945356800,6.66%,6849024,1.55%,73856,0.83%,1x64x80x80,1x128x80x80
/model.6/act/Sigmoid,Sigmoid,52428800,0.37%,6553600,1.48%,0,0.00%,1x128x80x80,1x128x80x80
/model.6/act/Mul,Mul,1638400,0.01%,6553600,1.48%,0,0.00%,1x128x80x80,1x128x80x80
/model.7/MaxPool,MaxPool,1638400,0.01%,1638400,0.37%,0,0.00%,1x128x80x80,1x128x40x40
/model.8/conv/Conv,Conv,944537600,6.66%,4457472,1.01%,295168,3.34%,1x128x40x40,1x256x40x40
/model.8/act/Sigmoid,Sigmoid,26214400,0.18%,3276800,0.74%,0,0.00%,1x256x40x40,1x256x40x40
